                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1964,                0.77262,                  1.099,                0.66036,                0.63642,                0.64168,                0.32067,                 1.9853,                  1.405,                 1.6697,             0.00026402,             0.00026402,             0.00026402
                     36,                 1.1849,                0.76383,                 1.0911,                0.64227,                0.68553,                0.66467,                0.33304,                 1.9539,                 1.3394,                 1.6929,             0.00026182,             0.00026182,             0.00026182
                     37,                 1.1918,                0.76245,                 1.0995,                0.68377,                0.61526,                0.62137,                0.31262,                 2.0417,                 1.3712,                 1.7256,             0.00025963,             0.00025963,             0.00025963
                     38,                 1.1858,                0.75403,                 1.0899,                0.71085,                0.67298,                0.65378,                 0.3248,                 2.0338,                  1.277,                 1.7348,             0.00025743,             0.00025743,             0.00025743
                     39,                 1.1857,                0.76586,                 1.0996,                  0.734,                0.65582,                0.68126,                0.34954,                 1.9927,                 1.3252,                 1.6826,             0.00025523,             0.00025523,             0.00025523
                     40,                 1.1805,                0.75623,                 1.0932,                  0.664,                0.67883,                0.65888,                0.33765,                 2.0005,                 1.2704,                 1.7415,             0.00025304,             0.00025304,             0.00025304
                     41,                 1.1822,                0.74228,                 1.0922,                0.72568,                0.66494,                0.67652,                0.33971,                 2.0364,                 1.3223,                 1.8314,             0.00025084,             0.00025084,             0.00025084
                     42,                 1.1704,                0.74292,                 1.0821,                0.66405,                0.65971,                0.64369,                0.33286,                 2.0111,                 1.3723,                 1.7444,             0.00024864,             0.00024864,             0.00024864
                     43,                 1.1569,                0.73861,                 1.0834,                0.68981,                0.63745,                0.64591,                0.32986,                 1.9815,                 1.3515,                 1.7931,             0.00024645,             0.00024645,             0.00024645
                     44,                 1.1558,                0.73752,                 1.0827,                0.71912,                0.61273,                0.65746,                0.32086,                 2.0015,                 1.3302,                 1.7388,             0.00024425,             0.00024425,             0.00024425
                     45,                 1.1409,                0.73042,                 1.0762,                0.69047,                0.65649,                0.66217,                0.32791,                 2.0464,                  1.271,                 1.7532,             0.00024206,             0.00024206,             0.00024206
                     46,                 1.1468,                0.72831,                 1.0775,                0.66199,                0.71519,                0.67694,                0.34357,                 1.9429,                 1.2337,                 1.6436,             0.00023986,             0.00023986,             0.00023986
                     47,                 1.1379,                0.71997,                 1.0738,                0.71001,                0.66906,                 0.6864,                0.34095,                 2.0018,                  1.321,                 1.7574,             0.00023766,             0.00023766,             0.00023766
                     48,                 1.1329,                0.71345,                 1.0754,                0.68551,                0.67199,                0.67476,                0.34077,                 1.9509,                 1.3298,                 1.6859,             0.00023547,             0.00023547,             0.00023547
                     49,                 1.1294,                0.71221,                 1.0688,                0.67821,                0.65503,                0.66424,                0.33909,                 2.0149,                  1.264,                 1.8348,             0.00023327,             0.00023327,             0.00023327
                     50,                 1.1321,                0.71518,                 1.0677,                 0.7052,                0.66073,                0.66698,                0.33835,                 1.9199,                 1.2764,                  1.615,             0.00023107,             0.00023107,             0.00023107
                     51,                 1.1225,                0.69794,                 1.0673,                0.70384,                0.67354,                0.68092,                0.34146,                 2.0572,                 1.2518,                 1.9076,             0.00022888,             0.00022888,             0.00022888
                     52,                 1.1102,                0.70855,                  1.066,                0.71896,                0.64569,                0.67936,                0.34079,                 1.9589,                 1.1926,                 1.6941,             0.00022668,             0.00022668,             0.00022668
                     53,                 1.1149,                0.70321,                 1.0676,                0.69573,                0.66888,                0.67898,                   0.34,                 1.9895,                 1.3361,                 1.8111,             0.00022448,             0.00022448,             0.00022448
