                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0764,                 3.0994,                 1.6326,                0.14612,                0.61861,                0.30388,                0.14662,                 2.1014,                 3.0823,                 1.7249,               0.067068,             0.00011192,             0.00011192
                      2,                 1.8826,                 1.9842,                   1.49,                0.55217,                0.44257,                0.45758,                0.20571,                 1.9451,                 2.0513,                 1.5915,               0.033847,             0.00022409,             0.00022409
                      3,                  1.806,                 1.8117,                  1.454,                0.51699,                0.48645,                0.50566,                0.23232,                  2.024,                 1.9817,                  1.638,             0.00062538,             0.00033553,             0.00033553
                      4,                 1.7618,                 1.6731,                 1.4323,                0.51123,                0.61942,                0.57981,                0.27379,                 1.8567,                 1.7066,                 1.5102,             0.00033541,             0.00033541,             0.00033541
                      5,                 1.7508,                 1.6247,                  1.418,                0.66057,                0.52662,                0.56654,                0.26847,                 1.9791,                 1.8221,                 1.6618,             0.00033431,             0.00033431,             0.00033431
                      6,                 1.7101,                 1.5233,                 1.3823,                 0.6593,                0.52254,                0.56789,                0.27847,                 1.8685,                 1.7445,                 1.5691,             0.00033321,             0.00033321,             0.00033321
                      7,                 1.6845,                 1.4736,                  1.372,                0.63545,                0.51701,                0.55348,                 0.2732,                 1.8981,                 1.7586,                 1.5256,             0.00033211,             0.00033211,             0.00033211
                      8,                 1.6687,                 1.4475,                 1.3593,                0.60703,                0.58411,                0.60126,                0.30431,                 1.8524,                 1.6354,                 1.5187,             0.00033101,             0.00033101,             0.00033101
                      9,                 1.6565,                 1.4328,                 1.3596,                0.60517,                0.57599,                0.59868,                0.31229,                  1.782,                  1.572,                 1.4681,             0.00032991,             0.00032991,             0.00032991
                     10,                 1.6242,                 1.3898,                 1.3387,                0.58135,                0.60944,                0.58153,                0.30105,                 1.8538,                 1.5417,                 1.5046,             0.00032882,             0.00032882,             0.00032882
                     11,                 1.6171,                 1.3627,                 1.3398,                0.64801,                0.59356,                 0.6172,                0.31345,                 1.7908,                 1.4755,                  1.489,             0.00032772,             0.00032772,             0.00032772
                     12,                 1.5994,                 1.3333,                 1.3317,                0.65641,                0.61843,                0.62524,                0.31654,                 1.8458,                 1.5002,                 1.5076,             0.00032662,             0.00032662,             0.00032662
                     13,                 1.5888,                 1.3269,                 1.3297,                0.62704,                0.60069,                0.61593,                0.30499,                 1.8792,                 1.5974,                 1.5471,             0.00032552,             0.00032552,             0.00032552
                     14,                 1.5809,                 1.2861,                 1.3158,                0.65336,                 0.5935,                0.59395,                0.29058,                 1.8453,                 1.6593,                 1.5242,             0.00032442,             0.00032442,             0.00032442
                     15,                 1.5826,                 1.2731,                 1.3137,                0.66087,                0.60312,                0.63718,                0.30003,                 1.9384,                 1.4512,                 1.4768,             0.00032333,             0.00032333,             0.00032333
                     16,                 1.5454,                 1.2453,                 1.2921,                0.67786,                0.60695,                0.62514,                0.30597,                 1.9255,                 1.4872,                 1.5725,             0.00032223,             0.00032223,             0.00032223
                     17,                 1.5472,                 1.2055,                 1.2903,                0.63246,                0.63887,                0.64472,                0.30058,                 1.8816,                 1.4604,                 1.5476,             0.00032113,             0.00032113,             0.00032113
                     18,                 1.5489,                 1.2224,                 1.2899,                0.61586,                0.59935,                0.60029,                0.29633,                 1.8633,                 1.4637,                 1.5078,             0.00032003,             0.00032003,             0.00032003
                     19,                 1.5343,                 1.1953,                 1.2856,                0.71166,                0.62287,                0.66979,                0.33321,                  1.833,                  1.451,                 1.5159,             0.00031893,             0.00031893,             0.00031893
                     20,                 1.5039,                 1.1623,                 1.2722,                0.74421,                0.58902,                0.63932,                0.32114,                 1.8372,                 1.4622,                 1.5075,             0.00031783,             0.00031783,             0.00031783
                     21,                 1.5242,                 1.1734,                 1.2755,                0.70565,                0.60722,                0.65168,                0.32333,                 1.8523,                 1.4803,                 1.4921,             0.00031674,             0.00031674,             0.00031674
                     22,                 1.4904,                 1.1316,                 1.2606,                0.65446,                0.64336,                0.64382,                0.32789,                 1.8262,                 1.3897,                 1.4928,             0.00031564,             0.00031564,             0.00031564
