                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3925,                0.99534,                 1.2044,                0.66904,                0.62305,                0.63759,                0.32831,                 1.8933,                 1.3211,                 1.6025,             0.00026622,             0.00026622,             0.00026622
                     35,                 1.3797,                0.96897,                 1.1933,                0.64316,                0.60758,                0.61821,                0.30885,                 1.9823,                 1.3719,                 1.6129,             0.00026402,             0.00026402,             0.00026402
                     36,                 1.3735,                0.96279,                 1.1869,                0.62342,                0.66089,                0.62307,                0.32829,                 1.8648,                 1.3511,                 1.5396,             0.00026182,             0.00026182,             0.00026182
                     37,                 1.3685,                0.94506,                 1.1844,                0.60196,                 0.6762,                0.63542,                0.32828,                 1.9401,                 1.3422,                 1.6202,             0.00025963,             0.00025963,             0.00025963
                     38,                 1.3572,                0.93823,                 1.1771,                0.67524,                0.59773,                0.64411,                0.32408,                 1.8805,                 1.3914,                 1.5545,             0.00025743,             0.00025743,             0.00025743
                     39,                 1.3625,                 0.9386,                 1.1885,                0.66759,                0.68497,                0.67227,                  0.336,                  1.844,                 1.3155,                 1.5426,             0.00025523,             0.00025523,             0.00025523
                     40,                  1.344,                0.92927,                 1.1705,                0.64725,                 0.6831,                0.65184,                0.31924,                 1.9539,                 1.3307,                 1.6332,             0.00025304,             0.00025304,             0.00025304
                     41,                 1.3519,                0.91434,                 1.1793,                0.68554,                0.61773,                0.64318,                0.31832,                 2.0107,                 1.5803,                 1.6536,             0.00025084,             0.00025084,             0.00025084
                     42,                 1.3313,                0.91515,                 1.1631,                0.66058,                0.61969,                0.62108,                0.31092,                 1.9224,                 1.4682,                 1.5737,             0.00024864,             0.00024864,             0.00024864
                     43,                 1.3174,                0.90677,                  1.164,                0.62532,                0.66081,                0.62745,                0.32235,                 1.8352,                 1.3327,                 1.5235,             0.00024645,             0.00024645,             0.00024645
                     44,                 1.3156,                0.89458,                 1.1619,                0.64023,                0.65568,                0.62913,                 0.3247,                 1.8892,                 1.3086,                 1.6066,             0.00024425,             0.00024425,             0.00024425
                     45,                 1.2975,                0.88053,                 1.1524,                0.63546,                0.66028,                0.65518,                0.33457,                 1.9296,                 1.3579,                 1.5909,             0.00024206,             0.00024206,             0.00024206
                     46,                 1.3031,                0.88337,                 1.1538,                0.66066,                 0.6464,                 0.6465,                0.32802,                 1.9237,                  1.373,                 1.6145,             0.00023986,             0.00023986,             0.00023986
                     47,                  1.292,                0.87106,                 1.1508,                0.68931,                0.66806,                0.68217,                0.33425,                 2.0037,                 1.3285,                 1.6969,             0.00023766,             0.00023766,             0.00023766
                     48,                 1.2861,                0.85758,                 1.1505,                0.66679,                0.65523,                0.65856,                0.33172,                 1.9505,                 1.3319,                 1.6199,             0.00023547,             0.00023547,             0.00023547
                     49,                 1.2727,                0.85504,                 1.1377,                0.68787,                0.61966,                0.63646,                0.32725,                 1.9964,                 1.3827,                 1.6815,             0.00023327,             0.00023327,             0.00023327
                     50,                  1.271,                0.84834,                 1.1384,                0.73686,                0.61244,                0.66864,                0.33228,                 2.0224,                   1.33,                 1.6806,             0.00023107,             0.00023107,             0.00023107
                     51,                 1.2682,                0.83488,                 1.1389,                0.64566,                0.65264,                0.66043,                 0.3194,                 1.9544,                 1.4511,                 1.6063,             0.00022888,             0.00022888,             0.00022888
