                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4609,                 1.2908,                 1.2319,                0.73303,                 0.6175,                0.67971,                0.33618,                 1.7742,                 1.3837,                 1.4422,              0.0051721,              0.0051721,              0.0051721
                     35,                 1.4448,                 1.2646,                 1.2198,                  0.663,                0.67451,                0.67979,                0.34113,                 1.7553,                 1.3946,                 1.4362,              0.0051559,              0.0051559,              0.0051559
                     36,                 1.4327,                 1.2634,                 1.2131,                0.64275,                0.68561,                0.66402,                0.33445,                 1.8115,                 1.3742,                 1.4566,              0.0051398,              0.0051398,              0.0051398
                     37,                 1.4325,                 1.2416,                 1.2134,                0.66792,                0.62108,                 0.6367,                0.31022,                 1.8254,                   1.55,                 1.5085,              0.0051237,              0.0051237,              0.0051237
                     38,                 1.4227,                 1.2196,                 1.1994,                0.70249,                0.68952,                0.69092,                0.34485,                 1.7463,                 1.3294,                 1.4185,              0.0051076,              0.0051076,              0.0051076
                     39,                  1.423,                 1.2242,                 1.2076,                0.70916,                0.64572,                0.67002,                0.33998,                 1.7347,                   1.32,                 1.4168,              0.0050915,              0.0050915,              0.0050915
                     40,                 1.4155,                 1.1996,                 1.1945,                0.68476,                0.68344,                0.67029,                0.34085,                 1.8126,                 1.3652,                 1.4758,              0.0050753,              0.0050753,              0.0050753
                     41,                 1.4236,                 1.1907,                 1.2051,                0.70083,                0.65384,                0.67828,                0.34082,                 1.7768,                 1.3861,                  1.453,              0.0050592,              0.0050592,              0.0050592
                     42,                 1.4089,                 1.1935,                 1.1955,                 0.6839,                0.66554,                0.65785,                0.33406,                  1.809,                 1.3431,                 1.4725,              0.0050431,              0.0050431,              0.0050431
                     43,                 1.3981,                 1.1649,                 1.1928,                0.69247,                0.67957,                0.66266,                0.33164,                 1.7682,                 1.3382,                  1.456,               0.005027,               0.005027,               0.005027
                     44,                 1.3931,                 1.1661,                 1.1898,                0.70651,                0.64447,                0.66042,                0.33573,                 1.8572,                 1.4086,                 1.4939,              0.0050109,              0.0050109,              0.0050109
                     45,                 1.3735,                  1.155,                 1.1816,                0.74938,                0.63275,                0.64354,                 0.3302,                 1.8811,                 1.3691,                 1.4918,              0.0049947,              0.0049947,              0.0049947
                     46,                 1.3801,                 1.1518,                 1.1855,                0.69545,                0.62599,                0.66453,                0.33653,                 1.8281,                 1.4041,                 1.4522,              0.0049786,              0.0049786,              0.0049786
                     47,                 1.3732,                 1.1347,                 1.1807,                0.68193,                0.67452,                0.66751,                0.33913,                  1.827,                 1.4021,                 1.4867,              0.0049625,              0.0049625,              0.0049625
                     48,                 1.3693,                 1.1233,                 1.1794,                0.67318,                0.67512,                0.66641,                0.33807,                 1.7832,                 1.3444,                 1.4457,              0.0049464,              0.0049464,              0.0049464
                     49,                 1.3578,                 1.1237,                 1.1674,                0.66366,                0.65313,                0.66895,                0.33811,                 1.8039,                 1.3238,                 1.4559,              0.0049303,              0.0049303,              0.0049303
                     50,                 1.3605,                 1.1069,                 1.1712,                 0.6222,                0.61996,                0.62265,                0.31242,                 1.8776,                 1.4507,                 1.5209,              0.0049141,              0.0049141,              0.0049141
                     51,                 1.3512,                 1.0987,                 1.1701,                0.68053,                0.67657,                0.66858,                0.33619,                 1.8315,                 1.3466,                 1.4755,               0.004898,               0.004898,               0.004898
                     52,                 1.3346,                 1.0809,                 1.1619,                0.69258,                0.67031,                0.64959,                0.33161,                 1.7798,                 1.3062,                 1.4588,              0.0048819,              0.0048819,              0.0048819
                     53,                 1.3404,                 1.0787,                 1.1612,                0.67835,                0.67638,                 0.6653,                0.33775,                 1.8045,                 1.3137,                 1.5202,              0.0048658,              0.0048658,              0.0048658
                     54,                 1.3361,                 1.0746,                 1.1573,                0.72812,                 0.6287,                0.65541,                0.33218,                 1.8734,                 1.3725,                 1.4946,              0.0048497,              0.0048497,              0.0048497
                     55,                  1.342,                   1.07,                 1.1538,                0.66317,                0.69642,                0.67174,                0.34472,                 1.8353,                 1.3685,                 1.5005,              0.0048335,              0.0048335,              0.0048335
                     56,                 1.3166,                 1.0431,                 1.1503,                0.66349,                0.67707,                0.66044,                0.32929,                 1.8162,                 1.3538,                 1.4743,              0.0048174,              0.0048174,              0.0048174
                     57,                 1.3174,                 1.0426,                 1.1463,                0.67944,                0.66641,                0.66427,                0.33794,                   1.83,                 1.3752,                 1.4906,              0.0048013,              0.0048013,              0.0048013
                     58,                 1.2933,                 1.0218,                 1.1388,                0.71374,                0.67311,                0.67171,                0.34537,                  1.826,                 1.3717,                 1.4834,              0.0047852,              0.0047852,              0.0047852
                     59,                 1.3154,                 1.0411,                 1.1441,                 0.7328,                0.62609,                0.66026,                0.34195,                 1.8095,                 1.3299,                 1.4828,              0.0047691,              0.0047691,              0.0047691
                     60,                 1.2975,                 1.0167,                 1.1369,                0.69749,                0.64243,                  0.645,                0.32895,                 1.8438,                 1.3749,                 1.4771,              0.0047529,              0.0047529,              0.0047529
