                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3449,                0.91982,                   1.17,                0.57149,                0.47744,                0.47746,                0.23621,                 2.1053,                 1.8382,                 1.6581,               0.067068,             0.00011192,             0.00011192
                      2,                 1.3541,                0.93267,                 1.1706,                0.64255,                0.60289,                0.61229,                 0.3036,                 2.0145,                 1.4074,                 1.6311,               0.033847,             0.00022409,             0.00022409
                      3,                 1.3598,                  0.955,                 1.1828,                0.68714,                0.61703,                0.65168,                0.31758,                 1.9836,                 1.3798,                 1.6381,             0.00062538,             0.00033553,             0.00033553
                      4,                 1.3868,                0.97916,                 1.1945,                0.70888,                0.63936,                0.67504,                0.33695,                 1.9808,                 1.3437,                  1.593,             0.00033541,             0.00033541,             0.00033541
                      5,                 1.3948,                0.98589,                 1.1972,                 0.6176,                0.63334,                0.61221,                0.30377,                 2.0528,                 1.7177,                 1.6603,             0.00033431,             0.00033431,             0.00033431
                      6,                 1.3852,                0.96268,                 1.1834,                0.69094,                0.55851,                0.62224,                0.30036,                 2.0302,                 1.4336,                 1.6381,             0.00033321,             0.00033321,             0.00033321
                      7,                 1.3769,                0.95362,                 1.1885,                 0.6218,                0.63844,                0.62345,                0.30293,                 1.9553,                 1.3639,                 1.6278,             0.00033211,             0.00033211,             0.00033211
                      8,                 1.3691,                0.94087,                 1.1783,                0.61129,                0.57909,                0.57265,                0.27567,                 1.8566,                 1.4956,                  1.536,             0.00033101,             0.00033101,             0.00033101
                      9,                 1.3902,                0.96298,                 1.1938,                0.63838,                 0.6552,                0.61059,                 0.3011,                  1.975,                 1.4199,                  1.553,             0.00032991,             0.00032991,             0.00032991
                     10,                 1.3515,                0.93804,                 1.1801,                0.67968,                0.61843,                0.62508,                0.31556,                 1.9475,                 1.4026,                 1.5683,             0.00032882,             0.00032882,             0.00032882
                     11,                 1.3544,                0.92936,                 1.1786,                0.69262,                0.65077,                 0.6553,                0.31912,                 2.0915,                 1.4965,                 1.6862,             0.00032772,             0.00032772,             0.00032772
                     12,                 1.3484,                0.91881,                 1.1791,                0.66744,                0.61064,                0.64466,                0.32861,                 1.9278,                 1.3073,                 1.5344,             0.00032662,             0.00032662,             0.00032662
                     13,                 1.3527,                0.93568,                 1.1841,                0.63979,                0.63629,                0.61216,                0.29888,                 1.9287,                 1.4492,                 1.5561,             0.00032552,             0.00032552,             0.00032552
                     14,                 1.3468,                 0.9163,                 1.1751,                0.67886,                0.62389,                0.63322,                0.30541,                 1.9438,                 1.3948,                 1.5511,             0.00032442,             0.00032442,             0.00032442
                     15,                 1.3322,                0.90076,                 1.1638,                0.71078,                0.61619,                0.63572,                0.31792,                   1.96,                 1.4026,                 1.5354,             0.00032333,             0.00032333,             0.00032333
                     16,                 1.3074,                0.88736,                 1.1542,                0.71013,                0.60107,                0.63788,                0.31668,                 1.9685,                 1.3745,                 1.5705,             0.00032223,             0.00032223,             0.00032223
                     17,                 1.3148,                 0.8797,                 1.1565,                0.72941,                0.61769,                0.67434,                0.32779,                 1.9505,                 1.3145,                 1.6047,             0.00032113,             0.00032113,             0.00032113
                     18,                 1.3191,                0.88501,                  1.162,                0.64668,                0.61983,                0.60577,                0.29625,                 1.9196,                 1.4265,                 1.5356,             0.00032003,             0.00032003,             0.00032003
                     19,                 1.3086,                0.87653,                 1.1539,                 0.7022,                0.63265,                0.65516,                 0.3191,                 1.9817,                 1.3541,                 1.5796,             0.00031893,             0.00031893,             0.00031893
                     20,                 1.2912,                0.86105,                 1.1484,                0.63073,                0.65674,                 0.6377,                0.31975,                 1.8598,                 1.4128,                 1.5265,             0.00031783,             0.00031783,             0.00031783
                     21,                 1.3161,                0.88301,                  1.155,                0.69638,                0.58347,                0.62861,                0.31794,                 1.8888,                 1.2834,                 1.5352,             0.00031674,             0.00031674,             0.00031674
                     22,                 1.2891,                0.85835,                 1.1422,                0.62287,                 0.6609,                0.62252,                0.32096,                 1.8774,                 1.3177,                   1.54,             0.00031564,             0.00031564,             0.00031564
                     23,                 1.2877,                0.86352,                 1.1461,                0.63632,                0.64452,                0.62677,                0.29205,                 2.0573,                 1.4509,                 1.6937,             0.00031454,             0.00031454,             0.00031454
                     24,                 1.2771,                0.84694,                 1.1373,                0.62993,                0.63535,                0.61756,                0.31091,                 1.9455,                 1.3382,                  1.573,             0.00031344,             0.00031344,             0.00031344
                     25,                 1.2719,                0.84475,                  1.141,                0.67224,                0.62682,                 0.6439,                0.33015,                  1.888,                 1.3224,                 1.5376,             0.00031234,             0.00031234,             0.00031234
                     26,                 1.2634,                0.83452,                 1.1345,                0.68877,                0.62855,                0.64857,                0.33054,                 1.9062,                 1.2907,                 1.5226,             0.00031124,             0.00031124,             0.00031124
                     27,                 1.2558,                 0.8207,                 1.1272,                 0.6615,                0.63204,                0.62041,                 0.3104,                 1.9683,                 1.3454,                  1.571,             0.00031015,             0.00031015,             0.00031015
                     28,                 1.2478,                 0.8232,                 1.1244,                0.61551,                0.64092,                0.62386,                0.31872,                 1.9736,                 1.4159,                 1.6124,             0.00030905,             0.00030905,             0.00030905
                     29,                 1.2574,                 0.8115,                 1.1263,                0.68269,                0.63064,                0.63049,                0.32232,                 1.8691,                 1.2369,                 1.5537,             0.00030795,             0.00030795,             0.00030795
                     30,                 1.2481,                0.81406,                 1.1172,                0.67374,                0.65574,                 0.6673,                0.34252,                 1.9447,                  1.333,                 1.5707,             0.00030685,             0.00030685,             0.00030685
                     31,                 1.2388,                0.81086,                 1.1254,                0.64848,                0.63189,                0.63177,                0.32256,                 1.8546,                 1.2816,                   1.54,             0.00030575,             0.00030575,             0.00030575
                     32,                 1.2326,                0.79302,                  1.107,                0.65292,                0.67099,                 0.6548,                0.33082,                 1.8586,                 1.2414,                 1.5642,             0.00030465,             0.00030465,             0.00030465
                     33,                 1.2239,                0.80016,                 1.1084,                0.66026,                 0.6142,                0.63564,                0.31898,                 1.8948,                 1.4174,                 1.5604,             0.00030356,             0.00030356,             0.00030356
                     34,                 1.2344,                0.79443,                 1.1188,                0.69782,                0.63842,                0.65121,                 0.3296,                 1.9412,                 1.3183,                 1.6354,             0.00030246,             0.00030246,             0.00030246
                     35,                 1.2244,                0.79477,                 1.1133,                0.71357,                0.62059,                0.66695,                  0.333,                  1.886,                 1.3509,                 1.5612,             0.00030136,             0.00030136,             0.00030136
                     36,                 1.2153,                0.79192,                 1.1044,                0.70228,                0.66203,                 0.6629,                 0.3345,                 1.8506,                 1.2797,                 1.5349,             0.00030026,             0.00030026,             0.00030026
                     37,                 1.2159,                0.79047,                  1.109,                0.66788,                0.63694,                0.63743,                0.32465,                 1.9599,                  1.365,                 1.6011,             0.00029916,             0.00029916,             0.00029916
                     38,                 1.2073,                   0.78,                 1.1001,                0.68022,                0.64109,                0.65956,                0.32708,                 1.9492,                 1.3494,                 1.5807,             0.00029807,             0.00029807,             0.00029807
                     39,                 1.2061,                 0.7803,                 1.1069,                0.67438,                0.67814,                0.68301,                0.33202,                 1.8954,                 1.2584,                 1.5777,             0.00029697,             0.00029697,             0.00029697
                     40,                 1.1912,                0.76836,                  1.099,                0.67053,                0.65278,                0.66967,                0.33345,                 1.8963,                 1.2992,                 1.5598,             0.00029587,             0.00029587,             0.00029587
                     41,                 1.2065,                0.77371,                  1.106,                0.68018,                0.60479,                0.63842,                 0.3304,                 1.9219,                 1.3033,                 1.6047,             0.00029477,             0.00029477,             0.00029477
                     42,                 1.1935,                0.76635,                 1.0915,                0.63062,                0.70532,                0.67052,                0.34139,                 1.8494,                 1.2255,                 1.5301,             0.00029367,             0.00029367,             0.00029367
                     43,                 1.1972,                0.77214,                 1.1015,                0.68346,                0.62654,                0.64488,                0.32635,                 1.8723,                 1.3663,                 1.5598,             0.00029257,             0.00029257,             0.00029257
                     44,                 1.1859,                 0.7623,                 1.0948,                0.69412,                0.64704,                   0.66,                0.32454,                 1.9452,                 1.3297,                 1.6288,             0.00029148,             0.00029148,             0.00029148
                     45,                 1.1766,                0.75795,                 1.0885,                0.61857,                0.64092,                0.63696,                0.32016,                  1.879,                 1.2595,                 1.5608,             0.00029038,             0.00029038,             0.00029038
                     46,                 1.1833,                0.76165,                 1.0948,                0.70914,                 0.6548,                0.68185,                0.33939,                 1.9157,                 1.2128,                 1.6102,             0.00028928,             0.00028928,             0.00028928
                     47,                 1.1697,                0.74888,                 1.0879,                 0.7147,                0.59474,                 0.6462,                0.33821,                 1.9308,                 1.2944,                 1.5869,             0.00028818,             0.00028818,             0.00028818
                     48,                 1.1722,                0.74561,                 1.0887,                0.62856,                0.68792,                0.65825,                0.33794,                 1.8891,                 1.3056,                 1.5741,             0.00028708,             0.00028708,             0.00028708
                     49,                 1.1641,                 0.7483,                 1.0819,                0.64486,                0.66161,                0.64168,                0.32799,                 1.9046,                 1.3959,                 1.6069,             0.00028598,             0.00028598,             0.00028598
                     50,                 1.1705,                0.74999,                 1.0824,                0.66319,                0.68763,                0.65776,                0.32569,                 1.8301,                  1.205,                 1.5616,             0.00028489,             0.00028489,             0.00028489
                     51,                 1.1624,                0.72638,                 1.0812,                 0.7017,                0.64712,                0.66263,                 0.3326,                 1.8949,                 1.2522,                 1.5714,             0.00028379,             0.00028379,             0.00028379
                     52,                 1.1487,                0.73559,                 1.0818,                0.74281,                0.62087,                0.67107,                0.33595,                 1.8329,                 1.2118,                 1.5545,             0.00028269,             0.00028269,             0.00028269
                     53,                 1.1447,                0.73632,                 1.0801,                0.66495,                0.65117,                0.66195,                0.32747,                 1.9491,                  1.329,                 1.6341,             0.00028159,             0.00028159,             0.00028159
                     54,                 1.1521,                0.74081,                  1.081,                0.69261,                0.61732,                0.64095,                0.31184,                 1.9227,                 1.2604,                 1.5916,             0.00028049,             0.00028049,             0.00028049
                     55,                 1.1436,                0.72044,                 1.0682,                0.73279,                 0.6707,                 0.6797,                0.33675,                 1.8973,                 1.2212,                 1.6151,              0.0002794,              0.0002794,              0.0002794
                     56,                 1.1321,                 0.7165,                 1.0726,                0.68141,                0.64046,                0.66548,                 0.3359,                 1.8762,                 1.2462,                 1.6087,              0.0002783,              0.0002783,              0.0002783
                     57,                 1.1297,                0.71035,                 1.0669,                0.71503,                0.67476,                0.68515,                0.33841,                 1.9362,                  1.352,                 1.6422,              0.0002772,              0.0002772,              0.0002772
                     58,                  1.118,                0.70555,                 1.0621,                0.72186,                0.66249,                0.66782,                0.32847,                 1.9024,                 1.2334,                 1.5865,              0.0002761,              0.0002761,              0.0002761
                     59,                 1.1317,                0.72018,                 1.0674,                0.68627,                0.66985,                0.67499,                0.33775,                 1.9122,                 1.2805,                 1.6048,               0.000275,               0.000275,               0.000275
                     60,                 1.1094,                 0.7011,                 1.0644,                0.69527,                0.63515,                0.64097,                0.32751,                 1.9202,                  1.299,                  1.625,              0.0002739,              0.0002739,              0.0002739
                     61,                 1.1269,                0.70891,                 1.0624,                0.72869,                 0.6559,                0.67618,                0.33739,                 1.8865,                 1.2809,                  1.588,             0.00027281,             0.00027281,             0.00027281
                     62,                 1.1187,                0.70011,                 1.0634,                0.71739,                 0.6406,                0.66688,                0.33749,                 1.9533,                 1.2781,                 1.6663,             0.00027171,             0.00027171,             0.00027171
                     63,                 1.1065,                0.70194,                   1.06,                0.68815,                 0.6673,                0.67188,                0.33016,                 1.9104,                 1.2032,                 1.5698,             0.00027061,             0.00027061,             0.00027061
                     64,                 1.1031,                0.69893,                 1.0526,                0.71284,                0.65525,                0.68806,                 0.3468,                 1.9176,                 1.2698,                 1.6023,             0.00026951,             0.00026951,             0.00026951
                     65,                 1.1073,                0.69857,                 1.0572,                 0.6866,                0.61786,                0.65496,                0.33109,                 1.9105,                 1.2872,                 1.6061,             0.00026841,             0.00026841,             0.00026841
                     66,                 1.0976,                0.69364,                 1.0552,                 0.7381,                0.64039,                0.66818,                0.33214,                 1.9547,                 1.2944,                  1.626,             0.00026731,             0.00026731,             0.00026731
                     67,                 1.1078,                0.69693,                 1.0571,                0.67403,                0.71152,                 0.6873,                0.33838,                 1.9083,                 1.2232,                 1.5852,             0.00026622,             0.00026622,             0.00026622
                     68,                 1.0983,                0.68992,                 1.0503,                0.66328,                0.68728,                0.67752,                0.33308,                 1.8732,                 1.2612,                 1.6114,             0.00026512,             0.00026512,             0.00026512
                     69,                 1.0813,                0.67643,                 1.0458,                0.72206,                0.62799,                  0.667,                0.33078,                 1.9037,                 1.2946,                 1.6386,             0.00026402,             0.00026402,             0.00026402
                     70,                 1.0958,                0.69213,                 1.0528,                0.72005,                0.62984,                0.67218,                0.33372,                  1.897,                 1.2806,                 1.6297,             0.00026292,             0.00026292,             0.00026292
                     71,                 1.0767,                0.68674,                 1.0487,                0.71438,                   0.59,                0.65892,                 0.3291,                 1.9137,                 1.2429,                  1.625,             0.00026182,             0.00026182,             0.00026182
                     72,                  1.082,                0.67802,                 1.0468,                0.70576,                0.67956,                0.68629,                0.33585,                 1.9265,                  1.234,                  1.586,             0.00026073,             0.00026073,             0.00026073
                     73,                 1.0757,                0.66728,                 1.0385,                0.73889,                0.60933,                0.66862,                0.33699,                 1.8809,                 1.2219,                 1.6035,             0.00025963,             0.00025963,             0.00025963
                     74,                 1.0689,                0.66765,                 1.0341,                0.73238,                0.62489,                0.66553,                0.33975,                 1.8826,                  1.259,                 1.6252,             0.00025853,             0.00025853,             0.00025853
                     75,                 1.0661,                0.66492,                 1.0426,                0.71994,                0.64537,                0.65548,                0.34007,                 1.8144,                 1.2211,                 1.5952,             0.00025743,             0.00025743,             0.00025743
                     76,                 1.0683,                0.66735,                  1.044,                0.69774,                0.66902,                0.66822,                0.34632,                 1.8287,                 1.2551,                 1.5404,             0.00025633,             0.00025633,             0.00025633
                     77,                 1.0636,                0.67175,                 1.0398,                  0.685,                0.67305,                0.67853,                0.34892,                 1.9048,                 1.2498,                 1.5957,             0.00025523,             0.00025523,             0.00025523
                     78,                 1.0579,                0.66292,                 1.0354,                 0.7195,                0.65621,                0.68197,                0.33758,                 1.9034,                 1.2507,                  1.618,             0.00025414,             0.00025414,             0.00025414
                     79,                 1.0512,                 0.6563,                 1.0395,                0.66569,                0.64758,                0.65659,                0.33033,                 1.9061,                 1.2131,                 1.6385,             0.00025304,             0.00025304,             0.00025304
                     80,                 1.0641,                0.65979,                 1.0377,                 0.7066,                0.65575,                 0.6859,                0.34981,                 1.8483,                 1.1862,                  1.575,             0.00025194,             0.00025194,             0.00025194
                     81,                 1.0476,                0.65518,                 1.0323,                0.70892,                0.66239,                0.65293,                0.32585,                 1.9319,                 1.3462,                 1.6324,             0.00025084,             0.00025084,             0.00025084
                     82,                 1.0637,                0.65735,                 1.0373,                0.74007,                0.62246,                0.67983,                0.32972,                  1.852,                 1.2049,                 1.5519,             0.00024974,             0.00024974,             0.00024974
                     83,                 1.0348,                0.64521,                 1.0312,                0.70378,                 0.6663,                0.69582,                0.35467,                 1.8342,                 1.2233,                 1.5808,             0.00024864,             0.00024864,             0.00024864
                     84,                 1.0487,                0.65513,                 1.0359,                0.72965,                0.67583,                0.68191,                0.33649,                 1.9049,                 1.2316,                 1.6052,             0.00024755,             0.00024755,             0.00024755
                     85,                  1.041,                0.64503,                 1.0282,                0.69091,                 0.6312,                 0.6404,                 0.3291,                 1.8727,                 1.2677,                 1.5894,             0.00024645,             0.00024645,             0.00024645
                     86,                 1.0463,                 0.6545,                 1.0292,                0.70534,                0.68275,                0.68156,                0.33918,                 1.8476,                 1.2192,                 1.5762,             0.00024535,             0.00024535,             0.00024535
                     87,                 1.0409,                0.64639,                 1.0294,                0.71253,                0.67674,                0.69329,                0.34765,                  1.869,                 1.2088,                   1.59,             0.00024425,             0.00024425,             0.00024425
                     88,                 1.0198,                0.63691,                 1.0194,                0.69791,                 0.6587,                 0.6574,                0.33335,                 1.9055,                 1.2232,                 1.5985,             0.00024315,             0.00024315,             0.00024315
                     89,                 1.0351,                0.64869,                 1.0305,                0.74393,                0.65941,                0.67408,                0.34494,                 1.8636,                 1.2445,                 1.5908,             0.00024206,             0.00024206,             0.00024206
                     90,                 1.0196,                0.63554,                 1.0168,                0.69223,                0.66711,                0.66474,                0.33614,                 1.8806,                 1.2418,                 1.6224,             0.00024096,             0.00024096,             0.00024096
                     91,                 1.0165,                0.63872,                 1.0177,                0.71742,                0.66136,                0.68723,                 0.3465,                 1.8966,                 1.1898,                 1.5956,             0.00023986,             0.00023986,             0.00023986
                     92,                 1.0267,                0.64182,                 1.0263,                0.74677,                0.64148,                0.68321,                0.34648,                 1.8872,                 1.2034,                 1.6086,             0.00023876,             0.00023876,             0.00023876
                     93,                 1.0197,                0.63527,                 1.0206,                0.74405,                  0.631,                0.66967,                0.34884,                 1.8502,                 1.1842,                 1.5828,             0.00023766,             0.00023766,             0.00023766
                     94,                 1.0031,                0.61926,                 1.0133,                 0.7413,                0.66303,                0.68506,                0.35097,                 1.8325,                  1.179,                 1.5595,             0.00023656,             0.00023656,             0.00023656
                     95,                  1.016,                0.63969,                 1.0215,                0.73676,                0.67809,                 0.7055,                 0.3545,                  1.882,                 1.2593,                  1.624,             0.00023547,             0.00023547,             0.00023547
                     96,                 1.0041,                0.62318,                 1.0138,                0.75138,                 0.6428,                0.68953,                 0.3535,                 1.8861,                 1.2784,                  1.616,             0.00023437,             0.00023437,             0.00023437
                     97,                 1.0117,                0.62744,                 1.0142,                0.69041,                0.70121,                0.68712,                0.34162,                 1.8902,                 1.1769,                 1.6512,             0.00023327,             0.00023327,             0.00023327
                     98,                0.99708,                0.62638,                  1.011,                0.69282,                0.68067,                0.67718,                0.35367,                 1.8523,                 1.2558,                 1.6229,             0.00023217,             0.00023217,             0.00023217
                     99,                 1.0025,                0.62098,                 1.0137,                 0.7039,                0.65018,                0.67244,                0.34294,                 1.8494,                 1.2126,                  1.615,             0.00023107,             0.00023107,             0.00023107
                    100,                0.99651,                0.62556,                 1.0122,                0.69528,                0.66201,                0.66812,                0.34407,                 1.8632,                 1.2072,                 1.6281,             0.00022997,             0.00022997,             0.00022997
                    101,                 1.0045,                0.62504,                 1.0166,                0.74199,                0.64824,                0.67765,                0.34943,                  1.869,                 1.2107,                 1.6249,             0.00022888,             0.00022888,             0.00022888
                    102,                0.98354,                0.60379,                 1.0077,                0.72444,                0.66664,                0.68354,                0.34868,                 1.8592,                 1.1844,                  1.651,             0.00022778,             0.00022778,             0.00022778
                    103,                 1.0017,                0.61596,                 1.0159,                0.73487,                0.64619,                0.66316,                0.33614,                 1.8786,                 1.2706,                  1.655,             0.00022668,             0.00022668,             0.00022668
                    104,                 1.0048,                0.61915,                 1.0139,                0.70341,                0.65846,                  0.657,                0.33743,                 1.9014,                 1.2759,                 1.6917,             0.00022558,             0.00022558,             0.00022558
                    105,                0.97857,                0.60817,                0.99879,                0.69324,                0.69449,                0.67097,                0.34223,                 1.8868,                 1.1946,                 1.6678,             0.00022448,             0.00022448,             0.00022448
                    106,                0.99123,                0.61684,                  1.014,                0.72646,                0.66327,                0.67551,                0.33466,                 1.8916,                 1.2152,                 1.6579,             0.00022339,             0.00022339,             0.00022339
                    107,                0.97528,                0.61038,                 1.0104,                 0.7245,                0.66788,                0.68271,                0.34853,                 1.8927,                 1.2448,                 1.6951,             0.00022229,             0.00022229,             0.00022229
