                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2812,                0.97713,                 1.1304,                0.70634,                0.66397,                0.67576,                0.34503,                  1.872,                 1.3278,                 1.5118,              0.0051721,              0.0051721,              0.0051721
                     35,                 1.2664,                0.96066,                  1.122,                0.67044,                0.67194,                0.67601,                0.33829,                 1.8833,                 1.3682,                 1.4825,              0.0051559,              0.0051559,              0.0051559
                     36,                  1.257,                0.95838,                 1.1111,                0.68866,                0.69536,                0.69042,                0.35734,                 1.8227,                 1.3128,                  1.481,              0.0051398,              0.0051398,              0.0051398
                     37,                 1.2598,                0.94463,                 1.1187,                0.72757,                0.66185,                0.66466,                0.34411,                 1.8864,                 1.3606,                 1.4903,              0.0051237,              0.0051237,              0.0051237
                     38,                 1.2504,                0.93784,                 1.1072,                0.73746,                0.66627,                0.69473,                0.36163,                 1.8332,                 1.2886,                 1.4629,              0.0051076,              0.0051076,              0.0051076
                     39,                 1.2511,                0.95343,                 1.1174,                0.69181,                0.70736,                0.70651,                0.35938,                 1.8524,                 1.2635,                 1.4661,              0.0050915,              0.0050915,              0.0050915
                     40,                 1.2478,                0.94178,                 1.1065,                0.69896,                0.65276,                0.66331,                0.33717,                 1.8459,                 1.3702,                 1.4827,              0.0050753,              0.0050753,              0.0050753
                     41,                 1.2467,                0.93183,                 1.1128,                0.71178,                0.65186,                0.67063,                0.32938,                 1.8697,                 1.3379,                 1.4953,              0.0050592,              0.0050592,              0.0050592
                     42,                 1.2456,                0.93201,                 1.1065,                0.66288,                0.68514,                 0.6739,                0.33902,                 1.8394,                 1.2932,                 1.4634,              0.0050431,              0.0050431,              0.0050431
                     43,                 1.2327,                0.92452,                  1.106,                0.71992,                0.64792,                0.67538,                0.34792,                 1.7983,                 1.2601,                 1.4803,               0.005027,               0.005027,               0.005027
                     44,                 1.2332,                 0.9169,                 1.1037,                0.69631,                0.67723,                0.67443,                0.34165,                 1.8588,                 1.3222,                 1.4602,              0.0050109,              0.0050109,              0.0050109
                     45,                 1.2275,                0.91512,                 1.0996,                0.73181,                0.64204,                0.66982,                0.34545,                 1.8474,                 1.3037,                  1.464,              0.0049947,              0.0049947,              0.0049947
                     46,                 1.2211,                0.90512,                 1.0983,                0.71351,                0.70035,                0.69416,                0.34451,                 1.8306,                 1.2965,                 1.4653,              0.0049786,              0.0049786,              0.0049786
                     47,                 1.2178,                0.90975,                 1.0992,                0.70699,                0.66927,                0.68362,                0.35271,                 1.8206,                 1.3192,                 1.4609,              0.0049625,              0.0049625,              0.0049625
                     48,                 1.2206,                0.90832,                 1.0991,                0.66266,                0.70006,                0.67152,                0.34022,                 1.8534,                 1.3266,                  1.489,              0.0049464,              0.0049464,              0.0049464
                     49,                 1.2158,                0.90359,                 1.0953,                0.71573,                 0.6715,                0.69205,                0.34253,                 1.9031,                  1.332,                 1.4789,              0.0049303,              0.0049303,              0.0049303
                     50,                 1.2216,                0.89717,                 1.0951,                0.70762,                0.63065,                 0.6723,                0.33586,                 1.9014,                 1.2857,                 1.5187,              0.0049141,              0.0049141,              0.0049141
                     51,                 1.2161,                0.88886,                 1.0967,                0.72175,                 0.6759,                0.68998,                0.34242,                 1.8431,                 1.3147,                  1.482,               0.004898,               0.004898,               0.004898
