                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3531,                0.95895,                 1.1603,                0.66034,                0.63037,                0.63895,                0.31669,                 1.8972,                 1.3496,                 1.4577,             0.00019829,             0.00019829,             0.00019829
                     35,                 1.3502,                 0.9548,                 1.1639,                0.70505,                0.64976,                0.65473,                0.32143,                 1.8866,                 1.3371,                 1.4683,             0.00019777,             0.00019777,             0.00019777
                     36,                 1.3516,                0.93576,                 1.1574,                0.67124,                0.59705,                0.63688,                0.32154,                 1.8814,                 1.4232,                 1.4873,             0.00019725,             0.00019725,             0.00019725
                     37,                 1.3282,                0.92339,                 1.1551,                0.67549,                0.65243,                0.65963,                0.32383,                 1.9179,                 1.3281,                 1.5347,             0.00019673,             0.00019673,             0.00019673
                     38,                 1.3285,                0.92827,                 1.1474,                0.68183,                0.65109,                0.67275,                0.33734,                 1.8564,                  1.353,                 1.4663,             0.00019621,             0.00019621,             0.00019621
                     39,                 1.3076,                0.92562,                 1.1474,                0.75093,                 0.5649,                 0.6452,                0.32442,                 1.8799,                 1.4645,                 1.4325,              0.0001957,              0.0001957,              0.0001957
                     40,                 1.3106,                0.91166,                 1.1362,                0.60788,                0.67896,                0.64257,                0.32162,                 1.8893,                 1.4037,                 1.4734,             0.00019518,             0.00019518,             0.00019518
                     41,                 1.2924,                0.89338,                 1.1398,                0.66507,                0.61018,                0.61798,                0.31504,                 1.8986,                 1.3421,                 1.4706,             0.00019466,             0.00019466,             0.00019466
                     42,                  1.285,                0.87804,                 1.1255,                0.62697,                0.66305,                0.66485,                0.33049,                 1.9027,                 1.3452,                 1.4942,             0.00019414,             0.00019414,             0.00019414
                     43,                 1.2902,                0.87126,                  1.126,                0.67037,                0.58707,                0.62418,                0.31016,                 1.9288,                  1.345,                  1.498,             0.00019363,             0.00019363,             0.00019363
                     44,                 1.2754,                 0.8608,                 1.1228,                0.71983,                0.61509,                0.63816,                0.31361,                 1.9767,                 1.4013,                 1.5086,             0.00019311,             0.00019311,             0.00019311
                     45,                  1.269,                 0.8541,                 1.1141,                0.71606,                0.64904,                0.66741,                0.32322,                 1.9147,                 1.3785,                 1.4939,             0.00019259,             0.00019259,             0.00019259
                     46,                 1.2691,                0.86235,                  1.124,                0.65783,                0.66293,                0.67098,                0.33393,                 1.8747,                 1.3247,                 1.4531,             0.00019207,             0.00019207,             0.00019207
                     47,                 1.2588,                0.84787,                 1.1167,                0.66295,                 0.6396,                0.64943,                0.32205,                 1.9242,                 1.3324,                 1.4832,             0.00019156,             0.00019156,             0.00019156
                     48,                 1.2494,                0.84079,                 1.1139,                0.64511,                0.63555,                0.64761,                0.31576,                 1.8993,                 1.3343,                 1.5193,             0.00019104,             0.00019104,             0.00019104
                     49,                 1.2537,                 0.8413,                 1.1106,                0.69933,                0.60876,                0.64972,                0.32955,                 1.9227,                 1.3494,                 1.4733,             0.00019052,             0.00019052,             0.00019052
                     50,                 1.2578,                0.84014,                  1.105,                0.61311,                0.65877,                0.65042,                0.32318,                 1.9044,                 1.3608,                 1.5238,                0.00019,                0.00019,                0.00019
                     51,                  1.231,                0.81771,                 1.0978,                0.64674,                0.62084,                0.63446,                0.31534,                  1.972,                 1.3743,                 1.5339,             0.00018948,             0.00018948,             0.00018948
                     52,                 1.2331,                 0.8192,                 1.1087,                0.62512,                0.67813,                0.65539,                0.31889,                 1.9551,                 1.3795,                 1.5382,             0.00018897,             0.00018897,             0.00018897
                     53,                 1.2297,                0.81258,                  1.102,                0.66211,                0.67274,                0.65457,                0.32554,                 1.9169,                 1.3002,                 1.5255,             0.00018845,             0.00018845,             0.00018845
                     54,                 1.2235,                0.81107,                 1.0944,                0.69845,                0.60699,                0.62744,                0.31288,                 1.9657,                 1.4157,                 1.5028,             0.00018793,             0.00018793,             0.00018793
                     55,                 1.2207,                0.80309,                 1.0907,                0.73742,                0.62789,                0.66807,                0.33115,                 1.9118,                  1.306,                 1.5283,             0.00018741,             0.00018741,             0.00018741
                     56,                  1.217,                0.79961,                 1.0987,                0.67363,                0.64942,                0.64046,                0.31703,                 1.9194,                 1.3375,                  1.511,              0.0001869,              0.0001869,              0.0001869
                     57,                 1.2023,                0.79357,                 1.0905,                0.64069,                0.68205,                0.66472,                0.33171,                 1.9198,                 1.3567,                 1.5316,             0.00018638,             0.00018638,             0.00018638
                     58,                 1.1933,                0.78243,                 1.0772,                0.68209,                0.64677,                0.65418,                0.31219,                 1.9514,                 1.3221,                 1.5385,             0.00018586,             0.00018586,             0.00018586
                     59,                 1.1888,                 0.7802,                 1.0823,                0.66969,                0.67192,                0.65376,                0.32026,                 1.9444,                 1.3553,                 1.5207,             0.00018534,             0.00018534,             0.00018534
                     60,                  1.185,                0.78054,                  1.086,                0.67084,                0.64638,                 0.6578,                0.33185,                  1.904,                 1.3188,                 1.5083,             0.00018482,             0.00018482,             0.00018482
                     61,                 1.1865,                0.77405,                 1.0776,                0.65019,                0.67789,                0.66301,                0.32735,                 1.9098,                 1.3254,                 1.5317,             0.00018431,             0.00018431,             0.00018431
                     62,                 1.1703,                0.76872,                 1.0753,                0.63139,                0.67571,                0.66086,                0.33236,                 1.8977,                  1.293,                 1.5178,             0.00018379,             0.00018379,             0.00018379
                     63,                  1.184,                0.76665,                  1.078,                0.64771,                0.63038,                0.63105,                0.31559,                 1.9524,                 1.3167,                 1.5192,             0.00018327,             0.00018327,             0.00018327
                     64,                 1.1785,                0.76209,                 1.0769,                0.64299,                 0.6878,                0.66765,                0.32975,                 1.9276,                 1.4158,                 1.5136,             0.00018275,             0.00018275,             0.00018275
                     65,                 1.1577,                0.75161,                 1.0691,                0.71518,                0.65844,                0.67682,                0.33573,                 1.9226,                 1.3216,                 1.5136,             0.00018224,             0.00018224,             0.00018224
                     66,                 1.1502,                0.75393,                 1.0694,                0.69231,                0.59406,                 0.6419,                0.31854,                 1.9443,                  1.294,                 1.5435,             0.00018172,             0.00018172,             0.00018172
                     67,                 1.1693,                0.75978,                 1.0731,                0.68272,                0.64425,                0.64738,                0.32493,                 1.9423,                 1.3177,                 1.5455,              0.0001812,              0.0001812,              0.0001812
                     68,                  1.138,                 0.7279,                 1.0566,                0.63703,                0.60155,                0.62392,                0.32299,                 1.9256,                 1.3641,                 1.5604,             0.00018068,             0.00018068,             0.00018068
                     69,                 1.1477,                0.73726,                 1.0609,                0.60733,                0.59365,                0.58636,                0.29439,                 2.0158,                 1.4922,                 1.6097,             0.00018017,             0.00018017,             0.00018017
                     70,                 1.1389,                0.73671,                 1.0604,                0.72023,                0.60206,                0.65532,                  0.318,                 1.9373,                 1.3088,                 1.5375,             0.00017965,             0.00017965,             0.00017965
                     71,                 1.1364,                0.72002,                 1.0527,                0.66272,                0.59916,                0.61013,                 0.2959,                 2.0875,                 1.3558,                 1.5669,             0.00017913,             0.00017913,             0.00017913
                     72,                 1.1148,                0.71869,                 1.0492,                0.65462,                0.65464,                0.66541,                0.32915,                 1.9322,                 1.3076,                 1.5237,             0.00017861,             0.00017861,             0.00017861
                     73,                 1.1321,                0.72473,                 1.0572,                 0.7086,                0.61117,                0.63798,                0.32182,                 1.9808,                 1.2925,                 1.5869,             0.00017809,             0.00017809,             0.00017809
                     74,                 1.1233,                0.72649,                 1.0579,                0.59662,                0.62982,                0.62023,                0.30973,                 1.9867,                 1.3688,                 1.5372,             0.00017758,             0.00017758,             0.00017758
                     75,                 1.1213,                0.71492,                 1.0547,                0.70523,                0.62067,                0.66679,                0.34317,                 1.9022,                 1.2966,                 1.5206,             0.00017706,             0.00017706,             0.00017706
